Date played,Sum of Wins,Sum of Losses
"Dec 10, 2024",0,1
"Dec 4, 2024",1,0
"Dec 5, 2024",1,1
"Dec 6, 2024",1,4
"Dec 7, 2024",1,1
"Dec 9, 2024",3,0
"Nov 28, 2024",0,3
"Nov 29, 2024",1,2
Loss,52 min,"Dec 10, 2024"
Win,55 min,"Dec 9, 2024"
Win,16 min,"Dec 9, 2024"
Win,25 min,"Dec 9, 2024"
Loss,34 min,"Dec 7, 2024"
Win,33 min,"Dec 7, 2024"
Loss,36 min,"Dec 6, 2024"
Loss,27 min,"Dec 6, 2024"
Loss,51 min,"Dec 6, 2024"
Loss,36 min,"Dec 6, 2024"
Win,41 min,"Dec 6, 2024"
Loss,42 min,"Dec 5, 2024"
Win,28 min,"Dec 5, 2024"
Win,35 min,"Dec 4, 2024"
Win,49 min,"Nov 29, 2024"
Loss,32 min,"Nov 29, 2024"
Loss,24 min,"Nov 29, 2024"
Loss,49 min,"Nov 28, 2024"
Loss,40 min,"Nov 28, 2024"
Loss,35 min,"Nov 28, 2024"
Win,29 min,"Dec 20, 2024"
Loss,34 min,"Dec 17, 2024"
Win,24 min,"Dec 16, 2024"
Loss,52 min,"Dec 10, 2024"
Win,55 min,"Dec 9, 2024"
Win,16 min,"Dec 9, 2024"
Win,25 min,"Dec 9, 2024"
Loss,34 min,"Dec 7, 2024"
Win,33 min,"Dec 7, 2024"
Loss,36 min,"Dec 6, 2024"
Loss,27 min,"Dec 6, 2024"
Loss,51 min,"Dec 6, 2024"
Loss,36 min,"Dec 6, 2024"
Win,41 min,"Dec 6, 2024"
Loss,42 min,"Dec 5, 2024"
Win,28 min,"Dec 5, 2024"
Win,35 min,"Dec 4, 2024"
Win,49 min,"Nov 29, 2024"
Loss,32 min,"Nov 29, 2024"
Loss,24 min,"Nov 29, 2024"
